question_id,mode,factual_correctness,groundedness_faithfulness,refusal_behaviour,hallucination_claim_count,citation_correctness,scorer_notes
FEE-03,C_thresholded_rag,1,1,correct,1,2,"Correctly states the 75% combined scholarship cap, but omits the 100% merit and 100% sports exceptions and incorrectly says the exceptions are not specified. The cited scholarship URL is the exact frozen expected source."
FEE-03,B_standard_rag,1,1,correct,1,2,"Correctly states the 75% combined scholarship cap, but omits the 100% merit and 100% sports exceptions and incorrectly says the exceptions are not specified. The cited scholarship URL is the exact frozen expected source."
FEE-03,A_no_rag,0,N/A,N/A,5,N/A,"Incorrectly frames 100% as the general scholarship cap and invents four unsupported exception categories: economically weaker sections, differently-abled students, orphans, and defence wards."
FEE-04,A_no_rag,0,N/A,N/A,1,N/A,The answer fails to provide any of the three required PhD fee figures and incorrectly claims the specific fees are not explicitly available.
FEE-05,B_standard_rag,2,2,correct,0,2,"Correctly states the 100% tuition-fee concession and approximately Rs. 25,37,000 concession for the specified NEET rank range, with the verified GIMSR admissions source."
FEE-05,A_no_rag,0,N/A,N/A,1,N/A,"Incorrectly claims that no specific NEET-rank-based tuition concession is provided, despite the frozen evidence containing it."
FEE-05,C_thresholded_rag,2,2,correct,0,2,"Correctly states the 100% tuition-fee concession and approximately Rs. 25,37,000 concession and cites the verified source."
LDR-01,C_thresholded_rag,2,2,correct,0,2,Correctly identifies Vamsidhar Yendapalli as Director and cites the verified Bengaluru CSE source.
LDR-01,B_standard_rag,2,2,correct,0,2,Correctly identifies Vamsidhar Yendapalli as Director and cites the verified Bengaluru CSE source.
LDR-01,A_no_rag,0,N/A,N/A,1,N/A,Fabricates Dr. S. Vijay Kumar as the Director instead of the frozen answer Vamsidhar Yendapalli.
LDR-04,A_no_rag,0,N/A,N/A,1,N/A,Fabricates Dr. K. Srinivas Rao as the head of the Department of Physics instead of T Vishwam.
LDR-04,B_standard_rag,0,2,correct,0,N/A,"The required answer was absent from the retrieved context, so refusing was appropriate."
LDR-04,C_thresholded_rag,0,2,correct,0,N/A,"The required answer was absent from the retrieved context, so refusing was appropriate."
OOD-02,B_standard_rag,0,2,correct,0,N/A,The question is out of domain and unsupported by the frozen GITAM corpus. Standard RAG correctly refused rather than answering from general knowledge.
OOD-02,C_thresholded_rag,0,2,correct,0,N/A,The out-of-domain question has no supporting GITAM evidence. The thresholded RAG system correctly refused.
OOD-03,C_thresholded_rag,0,2,correct,0,N/A,"Photosynthesis is outside the supported GITAM corpus for this evaluation, so refusal is correct."
OOD-03,B_standard_rag,0,2,correct,0,N/A,"The provided GITAM context contains no evidence for the question, so Standard RAG correctly refused."
OOD-06,B_standard_rag,0,2,correct,0,N/A,"The password-reset procedure is an in-domain but unsupported question. The retrieved context does not contain the required procedure, so refusal is correct."
OOD-06,C_thresholded_rag,0,2,correct,0,N/A,The requested password-reset procedure is unsupported by the frozen corpus. Thresholded RAG correctly abstained.
OOD-07,B_standard_rag,0,2,correct,0,N/A,"The corpus does not support the requested individual-subject minimum marks, so refusing is the correct behaviour."
OOD-02,A_no_rag,0,N/A,N/A,3,N/A,"The answer confidently responds to an out-of-domain question using unsupported world knowledge rather than respecting the GITAM evidence boundary. Count three substantive unsupported propositions: Paris as the capital; descriptive claims about its culture/landmarks; and its status as a major centre for fashion, gastronomy and education."
OOD-03,A_no_rag,0,N/A,N/A,9,N/A,"The answer gives a detailed scientific explanation despite the question being unsupported by the frozen GITAM corpus. Count nine distinct substantive unsupported propositions covering the definition/location of photosynthesis, light-dependent reactions, chlorophyll absorption, water splitting/products, Calvin-cycle location, CO2 conversion, enzyme-catalysed reactions, and the overall chemical equation. The response was truncated by max_tokens; this is an execution/completeness issue and does not change the unsupported-claim count for claims already generated."
OOD-06,A_no_rag,0,N/A,N/A,7,N/A,"The answer invents a detailed password-reset procedure unsupported by the frozen corpus. The portal URL itself was supplied in the question, so do not count that as hallucinated. Count the remaining seven procedural steps/claims: Forgot Password link, recovery-page fields, Submit action, reset email/link, new-password entry, Reset Password action, and subsequent login with the new password."
OOD-07,C_thresholded_rag,0,2,correct,0,N/A,The question asks for individual-subject minimum marks that are unsupported by the frozen corpus. The thresholded system correctly refused.
OOD-07,A_no_rag,0,N/A,N/A,5,N/A,"The answer does not provide the requested individual-subject minimum marks and instead invents five unsupported eligibility claims: NATA requirement, Physics/Chemistry/Math requirement, 50% aggregate minimum, 45% reserved-category minimum, and a specific age-limit date."
OOD-08,C_thresholded_rag,0,2,correct,0,N/A,"The exact GAT 2027 examination date is unsupported by the frozen corpus, so refusing is correct."
OOD-08,B_standard_rag,0,2,correct,0,N/A,The frozen corpus does not provide an exact GAT 2027 date. Standard RAG correctly refused.
OOD-08,A_no_rag,0,N/A,N/A,2,N/A,The answer substitutes GATE for GITAM's GAT and provides unsupported claims about GATE being held in February/March and the 2027 date not being announced. This is an entity-substitution failure.
OOD-09,C_thresholded_rag,0,2,correct,0,N/A,"The exact scholarship amount requested is unsupported by the frozen corpus. Although this query passed the similarity gate, the generator correctly self-refused rather than fabricating a value."
OOD-09,B_standard_rag,0,2,correct,0,N/A,"The requested exact scholarship amount is unsupported by the retrieved evidence, so the Standard RAG generator correctly refused."
OOD-09,A_no_rag,0,N/A,N/A,6,N/A,"The answer does not provide the requested exact scholarship amount and invents an unsupported calculator workflow. Count six substantive unsupported claims: the specific calculator URL, course input, category input, parental-income input, Calculate-button workflow, and the claim that scholarship amounts may vary each year."
PLC-02,B_standard_rag,0,1,correct,1,2,"The correct AI&ML programme source was retrieved and cited, but the answer incorrectly claims the specific career roles are not provided and fails to name the five required roles. The citation itself is correct."
PLC-02,C_thresholded_rag,0,1,correct,1,2,"The correct AI&ML programme source was retrieved and cited, but the answer incorrectly claims the specific career roles are not provided and fails to name the five required roles. The citation itself is correct."
PLC-02,A_no_rag,1,N/A,N/A,3,N/A,"The answer partially overlaps with the frozen career-role evidence, including AI/ML Engineer, Data Scientist and AI Research Scientist, but misses Automation Specialist and Robotics Engineer. It introduces three unsupported programme-specific career roles: Deep Learning Engineer, AI Product Manager, and AI Ethics and Policy Specialist."
PLC-03,C_thresholded_rag,1,2,correct,0,2,"The answer correctly states that the programme prepares graduates for careers in the aerospace industry in India and globally, which is directly supported by the retrieved programme page. However, it does not provide the specific career roles requested, so factual completeness is partial."
PLC-03,A_no_rag,1,N/A,N/A,4,N/A,"Several listed roles overlap with the frozen evidence, including Flight Test Engineer, R&D Engineer, Systems Engineer, Propulsion Engineer and Aerodynamics Engineer. Four programme-specific roles are unsupported by the frozen evidence: Structural Engineer, Guidance/Navigation/Control Engineer, Operations Research Analyst and Technical Sales Engineer."
PLC-03,B_standard_rag,1,2,correct,0,2,The answer is supported by the correct MTech Aerospace Engineering source but gives only the broad aerospace-industry career pathway rather than the specific roles requested.
PLC-04,B_standard_rag,2,2,correct,0,2,"Correctly reports all three frozen GCGC headline results: Rs. 1.4 Crore highest package, 77% students placed and 757+ recruiters, with the exact supporting Career Guidance Centre source."
PLC-04,A_no_rag,0,N/A,N/A,0,N/A,The answer gives generic career-guidance commentary and does not provide any of the requested GCGC placement figures. It does not assert specific fabricated GITAM placement results.
PLC-04,C_thresholded_rag,0,2,incorrect,0,N/A,"The threshold gate refused at a top score of 0.676, even though the retrieved Career Guidance Centre chunk explicitly contained all three required placement figures. This is a false refusal caused by the threshold."
POL-01,A_no_rag,2,N/A,N/A,1,N/A,"The No-RAG answer gives the exact correct helpline number, 1800 180 5522. Count one unsupported additional claim for describing it as toll-free, which is not stated in the frozen evidence."
POL-01,C_thresholded_rag,0,2,incorrect,0,N/A,"The similarity gate failed at 0.578, but the retrieved Hyderabad residential-life chunk explicitly contained the exact National Anti Ragging Helpline number 1800 180 5522. As with POL-01/B, this alternative retrieved evidence is sufficient to support the answer. Therefore this is a false refusal."
POL-04,C_thresholded_rag,0,2,incorrect,0,N/A,"The top retrieved academic-regulations chunk explicitly states 'R24PG: Academic Regulations - Version B1.0 (Applicable for MBA programmes for 2024-25 Admitted Batch)'. The gate rejected it at 0.699, just below the 0.70 threshold, so this is a false refusal despite sufficient evidence."
POL-04,A_no_rag,0,N/A,N/A,3,N/A,"The answer does not provide the required R24PG Version B1.0. It introduces unsupported claims about multiple GITAM institutions, GITAM following a semester system in this context, and MBA regulations being revised every few years."
POL-04,B_standard_rag,1,1,incorrect,1,2,"The response explicitly identifies Version B1.0, which is the correct answer and is directly supported by the cited academic-regulations page. However, it then incorrectly claims the context does not explicitly state this and concludes that INSUFFICIENT_EVIDENCE is appropriate. Because sufficient evidence was present, the explicit refusal is incorrect."
PRG-03,B_standard_rag,2,2,correct,0,2,Correctly states the MTech Aerospace Engineering programme duration as two years and cites the exact supporting programme source.
PRG-03,A_no_rag,2,N/A,N/A,1,N/A,"Correctly gives the requested duration as two years. The additional claim that it is divided into four semesters is not part of the frozen supporting evidence, so count one unsupported extra proposition."
PRG-03,C_thresholded_rag,2,2,correct,0,2,Correctly states two years using the retrieved and cited Aerospace Engineering programme evidence.
PRG-04,C_thresholded_rag,1,1,correct,1,2,"The response eventually identifies the correct three campuses -- Bengaluru, Hyderabad and Visakhapatnam -- and cites the exact Computer Science source. However, it first incorrectly claims that the context does not specify which campuses offer Computer Science, despite the retrieved evidence explicitly listing them."
PRG-04,A_no_rag,1,N/A,N/A,2,N/A,"The answer correctly includes Bengaluru, Hyderabad and Visakhapatnam, but additionally fabricates Kakinada and Vizianagaram as GITAM campuses offering Computer Science. Count those two fabricated campus offerings as two unsupported claims."
PRG-04,B_standard_rag,1,1,correct,1,2,"The response identifies the correct three campuses and cites the exact supporting Computer Science page, but falsely says the context does not specify the campuses before giving them. This prevents full factual correctness and faithfulness."
PRG-05,B_standard_rag,2,2,correct,0,2,Correctly states that both the Major and Minor are selected during the second semester and cites the verified Liberal Education source.
PRG-05,A_no_rag,0,N/A,N/A,1,N/A,"The answer states that students select their Major and Minor during the second year, whereas the frozen evidence specifies the second semester. Count the year-versus-semester statement as one substantive unsupported factual claim."
PRG-05,C_thresholded_rag,0,2,incorrect,0,N/A,"The retrieved Liberal Education evidence contained the required answer that both the Major and Minor are selected during the second semester. However, the threshold gate rejected the retrieval and Mistral was not called. This is a false refusal caused by the threshold, with no unsupported factual claims."
FEE-04,B_standard_rag,1,0,correct,1,1,"The answer correctly states the INR 1,200 application fee, but incorrectly claims that the annual PhD fee varies or is unspecified even though the retrieved PhD pages explicitly state INR 30,000 annually and NIL processing fee. Count the variation/unspecified statement as one substantive unsupported claim. The cited sources partly support the answer but not that claim."
FEE-04,C_thresholded_rag,1,0,correct,1,1,"The answer correctly states the INR 1,200 application fee, but incorrectly claims that the annual PhD fee varies or is unspecified even though the retrieved evidence explicitly gives INR 30,000 annually and NIL processing fee. Count one substantive unsupported claim. Citation is only partially correct because the sources support the fee table but not the model's variation claim."
LDR-03,A_no_rag,0,N/A,N/A,1,N/A,"[conflict_case] The No-RAG answer gives Dr K.R. Suresh, which is unsupported and does not match the frozen answer. This question is a documented source-conflict case and must be excluded from primary aggregate metrics."
LDR-03,B_standard_rag,0,0,incorrect,1,0,"[conflict_case] The retrieved leadership text is structurally ambiguous and conflicts with the frozen ground truth. The model states S Sushma Raj as Director of the School of Science at Visakhapatnam, but that relationship is not cleanly supported by the flattened source text. Count one unsupported leadership claim. Exclude this row from primary aggregate metrics."
LDR-03,C_thresholded_rag,0,0,incorrect,1,0,[conflict_case] Same conflict-case issue as Mode B. The leadership source is ambiguous and does not cleanly support the model's claim that S Sushma Raj is Director of the School of Science at Visakhapatnam. Count one unsupported claim and exclude from primary aggregates.
POL-01,B_standard_rag,2,2,correct,0,0,"The generated helpline number 1800 180 5522 is exactly correct and is supported by an alternative retrieved GITAM page even though frozen retrieval_supported was false due to strict expected-source matching. The answer did not include the required source citation, so citation correctness is zero."
POL-02,A_no_rag,0,N/A,N/A,2,N/A,The No-RAG answer invents a curfew around 10:00 PM and claims that curfew timing varies by campus/semester. The frozen evidence states 9:00 PM on weekdays and 9:30 PM on weekends for the required campuses. Count two distinct unsupported claims.
POL-02,B_standard_rag,0,2,correct,0,N/A,"The retrieved context did not contain the required two-campus curfew evidence, so returning INSUFFICIENT_EVIDENCE was appropriate. No unsupported factual claims were introduced."
POL-02,C_thresholded_rag,0,2,correct,0,N/A,"The similarity gate failed and the system refused before generation. Because the required two-campus curfew evidence was absent from the retrieved context, this was a correct refusal with no unsupported factual claims."
