question_id,question,answerable,negative_type,category,difficulty,expected_answer,expected_source_url,evidence_text,campus,verification_status,notes,split
PRG-01,What are the minimum eligibility requirements for GITAM's MCA programme?,TRUE,,programmes/course details,Medium,"A minimum of 50% or 5.0 CGPA aggregate marks in BCA / B.Tech CSE-IT / B.Sc. / B.Com. / B.A. with Mathematics (with bridge courses if required), plus a qualifying GAT score.",https://www.gitam.edu/visakhapatnam/computer-science/course/master-of-computer-applications,A minimum of 50% or 5.0 CGPA aggregate marks in BCA / B.Tech. Computer Science Engineering and IT / B.Sc. / B.Com. / B.A. with Mathematics at 10+2 Level or at Graduation Level (with additional bridge Courses as per the norms of the concerned University) or its equivalent and Qualified in GAT.,Visakhapatnam,verified,,calibration
PRG-02,What application-focused centres of excellence are highlighted for the AI & ML B.Tech at GITAM Bengaluru?,TRUE,,programmes/course details,Easy,"AR/VR, Autonomous Systems, Aerospace Design & Practice, and Biomedical devices.",https://www.gitam.edu/bengaluru/artificial-intelligence-and-data-science/course/btech-computer-science-and-engineering-artificial-intelligence-and-machine-learning,Key Highlights Application Centres of Excellence AR/VR Autonomous Systems Aerospace Design & Practice Biomedical devices,Bengaluru,verified,This page's Eligibility section was NOT used as evidence for any question -- see ambiguity_log.md (systemic missing-criterion-'a' issue).,calibration
PRG-03,How long is the MTech Aerospace Engineering programme at GITAM Hyderabad?,TRUE,,programmes/course details,Easy,Two years (a postgraduate programme).,https://www.gitam.edu/hyderabad/aerospace-engineering/course/mtech-aerospace-engineering,"The MTech Aerospace Engineering programme at GITAM School of Technology, Hyderabad, is a two-year postgraduate programme designed to produce competent aerospace engineers equipped with the technical and analytical skills needed to excel in the aerospace industry.",Hyderabad,verified,,final_test
PRG-04,Which GITAM campuses offer Computer Science programmes?,TRUE,,programmes/course details,Easy,"Computer Science is offered at all three campuses: Bengaluru, Hyderabad, and Visakhapatnam.",https://www.gitam.edu/discipline/computer-science,GITAM School of Computer Science and Engineering Bengaluru GITAM School of Computer Science and Engineering Hyderabad GITAM School of Computer Science and Engineering Visakhapatnam,Multi-campus,verified,"Verified earlier this session via inspect_short_pages.py; the answer itself is the cross-campus list, matching the Multi-campus tag definition.",final_test
PRG-05,"In GITAM's Liberal Education model, when do students select their Major and Minor?",TRUE,,programmes/course details,Medium,Both the Major and Minor are selected during the second semester.,https://www.gitam.edu/academics/liberal-education,"Students select a Major based on their interests in the second semester. Students choose a Minor to complement their Major, either from within the school or from other schools, also during the second semester.",General,verified,,final_test
PLC-01,Which companies recruited GITAM MCA (Visakhapatnam) students through on-campus placements?,TRUE,,placements/careers,Medium,"Companies including Accenture, TCS, Capgemini, Infosys, Micron Technology, Wipro, Amazon, and Cognizant recruited MCA (Visakhapatnam) students on-campus across recent batches (representative subset, not exhaustive).",https://www.gitam.edu/visakhapatnam/computer-science/course/master-of-computer-applications,"On-campus recruiters recorded for GITAM MCA (Visakhapatnam), representative subset across multiple batch years: Accenture, TCS, Capgemini, Sutherland Global, Micron Technology, Infosys, Deloitte, WNS, Cyient, Federal Bank, State Street Corporation, Wipro, Cognizant Gen C, Amazon.",Visakhapatnam,verified,"Evidence text is a FILTERED extraction, not a raw verbatim quote: individual student names and registration numbers from the source placements table were intentionally excluded as irrelevant to the evaluation task, retaining only recruiter/company information. Full source table (with names) available at the source URL if needed.",calibration
PLC-02,What career roles are graduates of the BTech CSE (AI&ML) programme at GITAM Bengaluru prepared for?,TRUE,,placements/careers,Easy,"Roles including AI/ML Engineer, Data Scientist, Automation Specialist, AI Research Scientist, and Robotics Engineer.",https://www.gitam.edu/bengaluru/artificial-intelligence-and-data-science/course/btech-computer-science-and-engineering-artificial-intelligence-and-machine-learning,AI/ML Engineer Data Scientist Automation Specialist AI Research Scientist Robotics Engineer AI Solutions Architect Research and Development Engineer in AI,Bengaluru,verified,,final_test
PLC-03,What career roles are graduates of the MTech Aerospace Engineering programme at GITAM Hyderabad prepared for?,TRUE,,placements/careers,Easy,"Roles including Aerospace Design Engineer, Flight Test Engineer, UAV Specialist, Satellite Systems Engineer, and Propulsion Engineer.",https://www.gitam.edu/hyderabad/aerospace-engineering/course/mtech-aerospace-engineering,Aerospace Design Engineer Flight Test Engineer Research and Development Engineer Systems Engineer UAV Specialist Satellite Systems Engineer Propulsion Engineer Avionics Engineer Aerodynamics Engineer Aircraft Maintenance Manager,Hyderabad,verified,,final_test
PLC-04,What headline placement results does GITAM's Career Guidance Centre (GCGC) report?,TRUE,,placements/careers,Medium,"A highest package of Rs. 1.4 Crore, 77% of students placed, and 757+ recruiters engaged.",https://www.gitam.edu/career-guidance-centre,1.4 Cr Highest Package 77 % Students Placed 757+ Recruiters,General,verified,"The Rs. 1.4 Cr highest-package figure is independently corroborated by a separate, differently-worded claim on /faqs ('highest placement package is 1.4 Crore in GITAM School of Technology, 2025') -- treated as supporting cross-verification, not used as the evidence source here.",final_test
LDR-01,Who is the Director of GITAM School of Computer Science and Engineering (GSCSE) at the Bengaluru campus?,TRUE,,leadership/faculty,Easy,Vamsidhar Yendapalli.,https://www.gitam.edu/bengaluru/gitam-school-of-computer-science-and-engineering,"Director – GITAM School of Computer Science and Engineering (GSCSE), Bengaluru Vamsidhar Yendapalli",Bengaluru,verified,"This page also lists 'Dean - GITAM School of Computer Science and Engineering: S Arun Kumar', but S Arun Kumar was NOT used for any question here because his title is inconsistent across pages (titled 'Director' on the Visakhapatnam GSCSE page instead of 'Dean') -- see ambiguity_log.md.",final_test
LDR-02,"Who is the Head of the Department for Computer Science at GITAM's Visakhapatnam campus, as listed on the MCA programme page?",TRUE,,leadership/faculty,Easy,T Uma Devi.,https://www.gitam.edu/visakhapatnam/computer-science/course/master-of-computer-applications,School Leadership Head of the Department T Uma Devi,Visakhapatnam,verified,Question deliberately scoped to 'as listed on the MCA programme page' since department-head listings can vary by which specific course/programme page is consulted.,calibration
LDR-03,Who is the Director of GITAM School of Science at the Visakhapatnam campus?,TRUE,,leadership/faculty,Easy,Chandu Kavitha.,https://www.gitam.edu/visakhapatnam/physics,"Director, GITAM School of Science, Visakhapatnam Campus Chandu Kavitha",Visakhapatnam,verified,,final_test
LDR-04,Who is the Head of the Department of Physics at GITAM Hyderabad?,TRUE,,leadership/faculty,Easy,T Vishwam.,https://www.gitam.edu/hyderabad/physics,Department Leadership Head of the Department T Vishwam,Hyderabad,verified,,final_test
FAC-01,What are the two evening bus departure times from GITAM's Hyderabad campus shuttle service?,TRUE,,campus facilities/services,Easy,3:45 PM and 4:10 PM.,https://www.gitam.edu/hyderabad/campus-life/transport-facilities,Evening Departure Time at GITAM 03:45PM Evening Departure Time at GITAM 04:10PM,Hyderabad,verified,"This exact pair of times repeats after nearly every one of the dozens of listed bus routes on this page -- cross-verified by internal repetition, not a single isolated mention.",final_test
FAC-02,Do GITAM's Visakhapatnam and Bengaluru residence halls have the same breakfast timing?,TRUE,,campus facilities/services,Medium,"No -- Bengaluru breakfast runs 7:00-9:00 AM, while Visakhapatnam's runs 7:30-9:00 AM (lunch and dinner windows also differ slightly between the two campuses).",https://www.gitam.edu/visakhapatnam/campus-life/residential-life ; https://www.gitam.edu/bengaluru/campus-life/residential-life,Visakhapatnam: 'Breakfast Lunch Evening Snacks Dinner 7.30 AM to 9.00 AM 12.00 PM to 2.00 PM 4.30 PM to 6.00 PM 7.30 PM to 9.00 PM' | Bengaluru: 'Breakfast Lunch Evening Snacks Dinner 7.00 AM to 9.00 AM 11.30 AM to 02.00 PM 04.30 PM to 05.30 PM 07.00 PM to 09.00 PM',Multi-campus,verified,"First case in this evaluation set requiring TWO distinct source URLs for one answer (prior Multi-campus questions compared rows within a single page's table). Both URLs and both evidence passages preserved and clearly labeled per source, as required.",calibration
FAC-03,"How many days can a UG student borrow a book from GITAM's library, and how many renewals are allowed?",TRUE,,campus facilities/services,Medium,"15 days, with 1 renewal (extending it for 15 more days).",https://www.gitam.edu/library/library-rules-regulations,UG student 04 15 days 01 15 days,General,verified,"From the lending-eligibility table (columns: User category, No. of check-out, Loan Period, No. of Renewals, Renewal period).",final_test
FAC-04,What is the daily overdue fine for a library book at GITAM?,TRUE,,campus facilities/services,Easy,Rs. 5 per book per day.,https://www.gitam.edu/library/library-rules-regulations,KRC collects Rs.5/- for each book per day from the defaulter.,General,verified,,final_test
POL-01,What National Anti Ragging Helpline number is listed on GITAM's Visakhapatnam residential-life page?,TRUE,,policies/student support,Easy,"1800 180 5522, listed as the National Anti Ragging Helpline (available 24x7).",https://www.gitam.edu/visakhapatnam/campus-life/residential-life,National Anti Ragging Helpline 24x7 1800 180 5522,Visakhapatnam,verified,"Question deliberately scoped to 'listed on GITAM's page' rather than implying the number is GITAM's own -- it is the national UGC anti-ragging helpline, not a GITAM-operated line. Deliberately sourced from Visakhapatnam, not Bengaluru, since the equivalent contact details are missing from the Bengaluru page's extraction -- see ambiguity_log.md.",final_test
POL-02,What curfew rule is stated for students living in GITAM residence halls at the Visakhapatnam and Bengaluru campuses?,TRUE,,policies/student support,Easy,"Students are discouraged from leaving campus between 9:00 PM and 6:00 AM, and must return to their residence by 9:00 PM on weekdays / 9:30 PM on weekends -- the same rule is stated on both the Visakhapatnam and Bengaluru pages.",https://www.gitam.edu/visakhapatnam/campus-life/residential-life ; https://www.gitam.edu/bengaluru/campus-life/residential-life,"Visakhapatnam: 'Curfew: For safety reasons, students are discouraged from leaving the campus between 9:00 PM and 6:00 AM. All students must return to their residence by 9:00 PM on weekdays and 9:30 PM on weekends.' | Bengaluru: identical wording confirmed on this page.",Multi-campus,verified,"Both source URLs preserved since the answer's cross-campus claim (same rule at both campuses) requires both pages as evidence, not just one.",final_test
POL-03,"What 24/7 mental health support does GITAM offer through UDAAN, and who is the partner platform?",TRUE,,policies/student support,Medium,"24/7 online counselling support via text, audio, and video chat, through a partnership with YourDOST.",https://www.gitam.edu/about/udaan,"GITAM partnered with YourDOST as part of the UDAAN initiative to offer an online portal for 24/7 emotional well-being support. Students can access professional, confidential assistance through text, audio, and video chat.",General,verified,,calibration
POL-04,Which version of GITAM's academic regulations applies to MBA programmes for the 2024-25 admitted batch?,TRUE,,policies/student support,Medium,"R24PG Academic Regulations, Version B1.0.",https://www.gitam.edu/academics/academic-regulations,R24PG: Academic Regulations - Version B1.0 (Applicable for MBA programmes for 2024-25 Admitted Batch),General,verified,,final_test
CPX-01,How does a student's CGPA after the first year affect continuation of a GAT/GBAT merit scholarship at GITAM?,TRUE,,complex/multi-sentence,Hard,"The scholarship (valid only for year 1) continues at the same slab if CGPA >= 8.0; downgrades to the next lower slab (among 75/60/40/25/15%) if CGPA is 7.5-7.99 (except a 15% scholarship, which is not reduced further); and is discontinued below 7.5 -- though a student can requalify in any later year they meet the threshold again.",https://www.gitam.edu/fee-scholarship/student-scholarships,"Renewal Criteria: The scholarship provided via GBAT/GAT or National/State Entrance Exams is valid only for the first academic year. To continue receiving the same scholarship in subsequent years, students must maintain a CGPA of 8.0 or higher. If a student's CGPA falls between 7.5 and 7.99, their scholarship will be reduced to the next lower category among the available slabs of 75%, 60%, 40%, 25% and 15%. However, this reduction does not apply to students who initially receive a 15% scholarship. The student will be eligible for the scholarship in the year in which they fulfil the scoring of the required CGPA in any subsequent year of study.",General,verified,"Requires synthesizing 3+ sentences (validity period, renewal threshold, downgrade mechanism, 15% exception, requalification). Distinct from FEE-03 (combination cap, not renewal logic). This specific structure is independently corroborated by a second restatement on the same page.",calibration
CPX-02,What special payment method and documentation requirements apply specifically to NRI/foreign candidates for MBBS admission at GIMSR?,TRUE,,complex/multi-sentence,Hard,"Tuition must be paid in US Dollars only, from the sponsor's account (with proof of the transaction); plus NRI-status documents (passport, visa, or OCI) and an NRI Embassy certificate, in addition to the standard admission documents required of all candidates.",https://www.gitam.edu/gimsr/admissions/under-graduate,"For foreign citizens including OCI, PIO, NRI and NRI sponsored candidates, the prescribed tuition fee must be paid in US Dollars ($) only from the sponsor account and for the same, candidate must produce proof of the transaction made from the sponsor account. [...] In addition to the above, the candidates who have been allotted a seat under the NRI / NRI sponsored category, the following original documents have to be submitted at the time of reporting: Documents claiming that the person is an NRI (Passport, Visa, or OCI) NRI Embassy certificate of the parent or candidate.",GIMSR,verified,Requires combining two separate sections of the page (payment method + document list). Distinct from ADM-07 (exam process) and FEE-05 (scholarship tier); deliberately avoids the flagged ambiguous refund-policy table on this same page.,calibration
CPX-03,What student-safety committees and emergency services does GITAM Hyderabad's residence life page describe as being in place?,TRUE,,complex/multi-sentence,Medium,"Four committees -- Internal Complaints Committee (ICC), Grievance Redressal Committee, Student Disciplinary Committee (SDC), and Anti-Ragging Committees -- plus emergency services covering firefighting, medical assistance, and security/safety teams.",https://www.gitam.edu/hyderabad/campus-life/residential-life,"Various committees have been established collaboratively to promote the safety and security of resident students, including the Internal Complaints Committee (ICC), Grievance Redressal Committee, Student Disciplinary Committee (SDC), and Anti-Ragging Committees. Emergency services, including firefighting, medical assistance, and security and safety teams, are in place to effectively respond to emergencies.",Hyderabad,verified,New source for this evaluation set (Hyderabad residential-life page not previously used). Requires listing multiple named committees plus a separate emergency-services sentence.,final_test
CPX-04,How do GITAM's re-totaling and revaluation processes for end-semester theory exams differ in eligibility?,TRUE,,complex/multi-sentence,Hard,Both require a request and payment of a fee within 7 days of the results announcement. Revaluation is explicitly restricted to UG programmes with Single Valuation only and is not available for special exams -- restrictions the source does not similarly state for re-totaling.,https://www.gitam.edu/academics/evaluation/redressal-of-grievances,"Re-totalling: of the theory answer scripts of the end-semester examinations is permitted on request, on payment of the prescribed fee within seven days from the date of announcement of the results. Revaluation: Revaluation of the theory answer scripts of the end-semester examinations is also permitted on request, on payment of the prescribed fee within seven days from the date of announcement of the results. This provision is given to UG Programmes with Single Valuation only. There is no option to apply for a reevaluation of any special exams.",General,verified,"Corrected during review: original draft asserted re-totaling has 'no such restriction', which overreached beyond the source (absence of a stated restriction is not confirmation none exists). Revised wording avoids this. Distinct page from the ambiguous 'grievance-redressal' committee-roster page (Ambiguity #10) despite the similar name -- this page covers the exam re-evaluation process, not committee membership; no overlap or contradiction between them.",final_test
CPX-05,"Besides its digital YourDOST platform, what in-person and peer-based mental health support does GITAM provide through UDAAN?",TRUE,,complex/multi-sentence,Medium,"In-person trained counselling psychologists on each campus (offering individual and group sessions, especially during crisis situations); and a Peer Support Volunteer Program that trains students to act as a 'first friend on campus' for peers in need.",https://www.gitam.edu/about/udaan,"Empathetic and trained counselling psychologists on each campus offer individual and group sessions, especially during crisis situations, providing students with a safe, confidential, and supportive space to share their concerns and receive the help they need. [...] Train peer supporters to offer emotional support, social guidance, and practical assistance. Position peer supporters as the 'first friend on campus' for students in need.",General,verified,"Deliberately non-overlapping with POL-03, which covered only the digital YourDOST channel from this same page.",final_test
OOD-01,What is the average winter temperature in Antarctica?,FALSE,out_of_domain,out-of-domain,Easy,INSUFFICIENT_EVIDENCE,,,N/A,verified,Trivially unrelated to the GITAM corpus; no targeted search needed.,calibration
OOD-02,What is the capital city of France?,FALSE,out_of_domain,out-of-domain,Easy,INSUFFICIENT_EVIDENCE,,,N/A,verified,Trivially unrelated to the GITAM corpus; no targeted search needed.,final_test
OOD-03,How does photosynthesis convert sunlight into chemical energy?,FALSE,out_of_domain,out-of-domain,Easy,INSUFFICIENT_EVIDENCE,,,N/A,verified,Trivially unrelated to the GITAM corpus; no targeted search needed.,final_test
OOD-04,What specific disciplinary action does GIMSR's Anti-Ragging Committee take against a first-time offender?,FALSE,in_domain_unsupported,out-of-domain,Hard,INSUFFICIENT_EVIDENCE,,,N/A,verified_absent_by_targeted_search,"Checked via verify_absence.py across all 529 cleaned pages for: 'first-time offender', 'first offence', 'first time offender', 'repeat offender', 'first offense'. Zero matches. Consistent with Ambiguity #11: the GIMSR anti-ragging policy page itself is navigation-only; the actual policy document was never captured as text in this corpus (linked PDF).",calibration
OOD-05,What is the application deadline for GITAM's PhD admissions via the Research Admissions portal for 2026-27?,FALSE,in_domain_unsupported,out-of-domain,Hard,INSUFFICIENT_EVIDENCE,,,N/A,verified_absent_by_targeted_search,"Checked via verify_absence.py for: 'researchadmissions', 'PhD application deadline 2026', 'Apply Before 2026', 'research admissions 2026-27'. Zero matches. researchadmissions.gitam.edu is a subdomain never crawled (sitemap.xml only covers www.gitam.edu, and sitemaps by protocol only list same-domain URLs).",calibration
OOD-06,How do you reset your password on GITAM's online application portal (apply.gitam.edu)?,FALSE,in_domain_unsupported,out-of-domain,Hard,INSUFFICIENT_EVIDENCE,,,N/A,verified_absent_by_targeted_search,"Checked via verify_absence.py for: 'apply.gitam.edu', 'forgot password', 'reset your password', 'password reset'. One incidental match: the bare URL 'apply.gitam.edu' appears once as a pointer/link within an unrelated scholarship FAQ answer -- NOT a description of any password-reset feature. The three process-specific keywords ('forgot password', 'reset your password', 'password reset') returned zero matches anywhere in the corpus. apply.gitam.edu is itself an uncrawled subdomain.",final_test
OOD-07,What are the minimum marks required in individual subjects (not aggregate) for GITAM School of Architecture UG admission?,FALSE,in_domain_unsupported,out-of-domain,Hard,INSUFFICIENT_EVIDENCE,,,N/A,verified_absent_by_targeted_search,"Checked via verify_absence.py for: 'minimum marks in Mathematics', 'individual subject minimum', 'subject-wise eligibility', 'minimum marks in Physics for Architecture'. Zero matches. Architecture eligibility content found earlier in this project stated only aggregate percentage/CGPA and entrance-test-score criteria; subject-wise minimums (if they exist) appear to live only in PDF regulation documents, which were not captured as text in this corpus.",final_test
OOD-08,What is the exact date of the GAT 2027 entrance exam?,FALSE,in_domain_unsupported,out-of-domain,Hard,INSUFFICIENT_EVIDENCE,,,N/A,verified_absent_by_targeted_search,"Checked via verify_absence.py for: 'GAT 2027', '2027 exam date', 'GAT UG 2027', '2027 entrance exam date'. Zero matches. Corpus content throughout consistently references GAT 2025/2026 cycles; 2027 exam scheduling is plausibly genuinely unpublished as of this corpus snapshot -- a temporal/future-information gap rather than a structural one.",final_test
OOD-09,"According to GITAM's online Scholarship Calculator, what exact scholarship amount (in rupees) would a student with a combined parental income of Rs. 9 lakh per annum receive?",FALSE,in_domain_unsupported,out-of-domain,Hard,INSUFFICIENT_EVIDENCE,,,N/A,verified_absent_by_targeted_search,"Checked via verify_absence.py for: '9 lakh', 'Rs.9,00,000', '9,00,000 combined income', 'scholarship amount for', 'calculated scholarship'. Four incidental matches, all coincidental and unrelated on manual review (unrelated job-market statistics, a surgery-backlog figure, and a research grant amount -- none touching the Scholarship Calculator or income-based computation). The Scholarship Calculator page (fee-scholarship/scholarship-calculator) only describes the tool's existence in static text; specific computed outputs for a given hypothetical income are JS-interactive and were never rendered as static crawlable text -- a genuine JS-only-portal-content gap, distinct in kind from the other 5 negatives in this set.",final_test
